ChamberName, ChamberID, SampleName, ChamberContext, TotalNumberOfDroplets, Blue_Channel_SampleType, Blue_Channel_ProcessedDilutionStock, Blue_Channel_Concentration, Blue_Channel_NumberOfPositiveDroplets, Blue_Channel_NumberOfNegativeDroplets, Blue_Channel_ConcentrationStock_Min, Blue_Channel_ConcentrationStock_Max, Blue_Channel_ConcentrationStock_RelativeUncertainty, Green_Channel_SampleType, Green_Channel_ProcessedDilutionStock, Green_Channel_Concentration, Green_Channel_NumberOfPositiveDroplets, Green_Channel_NumberOfNegativeDroplets, Green_Channel_ConcentrationStock_Min, Green_Channel_ConcentrationStock_Max, Green_Channel_ConcentrationStock_RelativeUncertainty, Red_Channel_SampleType, Red_Channel_ProcessedDilutionStock, Red_Channel_Concentration, Red_Channel_NumberOfPositiveDroplets, Red_Channel_NumberOfNegativeDroplets, Red_Channel_ConcentrationStock_Min, Red_Channel_ConcentrationStock_Max, Red_Channel_ConcentrationStock_RelativeUncertainty
0447935-2-A1_HK-wt_DAY1_a, 0447935-2-A1, HK-wt_DAY1_a, ,21352, U,1,0,0,21352,0,0, inf%, U,1,0,0,21352,0,0, inf%, U,1,80.4,982,20370,75.3,85.4,6.26%
0447935-2-B1_038_DAY1_a, 0447935-2-B1, Nup93#38_DAY1_a, ,21895, U,1,0,0,21895,0,0, inf%, U,1,132,1629,20266,125.6,138.4,4.86%, U,1,138.2,1703,20192,131.6,144.8,4.75%
0447935-2-C1_070_DAY1_a, 0447935-2-C1, Nup93#70_DAY1_a, ,23348, U,1,0,0,23348,0,0, inf%, U,1,74.9,1003,22345,70.3,79.6,6.19%, U,1,81.1,1083,22265,76.2,85.9,5.96%
0447935-2-D1_079_DAY1_a, 0447935-2-D1, Nup93#79_DAY1_a, ,22697, U,1,0,0,22697,0,0, inf%, U,1,66.3,865,21832,61.9,70.7,6.66%, U,1,71.7,934,21763,67.1,76.3,6.41%
0447946-8-A2_092_DAY1_a, 0447946-8-A2, Nup93#92_DAY1_a, ,20831, U,1,0,0,20831,0,0, inf%, U,1,63.3,758,20073,58.8,67.8,7.12%, U,1,64.5,772,20059,59.9,69,7.05%
0447946-8-B2_214_DAY1_a, 0447946-8-B2, Nup93#214_DAY1_a, ,20169, U,1,0,0,20169,0,0, inf%, U,1,31.3,367,19802,28.1,34.6,10.20%, U,1,42.5,496,19673,38.8,46.2,8.80%
0447946-8-C2_Nup62-mEGFP-199_DAY1_a, 0447946-8-C2, Nup62#199_DAY1_a, ,21255, U,1,0,0,21255,0,0, inf%, U,1,0.56,7,21248,0.15,0.98,74.10%, U,1,56.2,688,20567,52,60.4,7.47%
0447937-6-A1_HK-wt_DAY2_a, 0447937-6-A1, HK-wt_DAY2_a, ,21569, U,1,0,0,21569,0,0, inf%, U,1,0,0,21569,0,0, inf%, U,1,42.9,536,21033,39.3,46.6,8.47%
0447937-6-B1_038_DAY2_a, 0447937-6-B1, Nup93#38_DAY2_a, ,20945, U,1,0,0,20945,0,0, inf%, U,1,156.4,1834,19111,149.3,163.6,4.58%, U,1,164.5,1925,19020,157.2,171.9,4.47%
0447937-6-C1_070_DAY2_a, 0447937-6-C1, Nup93#70_DAY2_a, ,20254, U,1,0,0,20254,0,0, inf%, U,1,17.4,205,20049,15,19.7,13.70%, U,1,19.2,227,20027,16.7,21.7,13.00%
