ChamberName;ChamberID;SampleName;ChamberContext;PoolingID;TotalNumberOfDroplets;Blue_Channel_SampleType;Blue_Channel_ProcessedDilutionStock;Blue_Channel_Concentration;Blue_Channel_NumberOfPositiveDroplets;Blue_Channel_NumberOfNegativeDroplets;Blue_Channel_SeparabilityScore;Blue_Channel_ConcentrationStock_Min;Blue_Channel_ConcentrationStock_Max;Blue_Channel_ConcentrationStock_RelativeUncertainty;Green_Channel_SampleType;Green_Channel_ProcessedDilutionStock;Green_Channel_Concentration;Green_Channel_NumberOfPositiveDroplets;Green_Channel_NumberOfNegativeDroplets;Green_Channel_SeparabilityScore;Green_Channel_ConcentrationStock_Min;Green_Channel_ConcentrationStock_Max;Green_Channel_ConcentrationStock_RelativeUncertainty;Red_Channel_SampleType;Red_Channel_ProcessedDilutionStock;Red_Channel_Concentration;Red_Channel_NumberOfPositiveDroplets;Red_Channel_NumberOfNegativeDroplets;Red_Channel_SeparabilityScore;Red_Channel_ConcentrationStock_Min;Red_Channel_ConcentrationStock_Max;Red_Channel_ConcentrationStock_RelativeUncertainty
0496083-6-A1_203;0496083-6-A1;203;;;25571;U;1;29;431;25140;13.7112606454718;26.300000000000001;31.800000000000001;0.094399999999999998;U;1;28.100000000000001;418;25153;34.920702031284499;25.399999999999999;30.800000000000001;0.095899999999999999;U;1;30.100000000000001;447;25124;21.129426512088099;27.300000000000001;32.899999999999999;0.092700000000000005
0496083-6-B1_214;0496083-6-B1;214;;;19741;U;1;59.799999999999997;680;19061;13.8464527327822;55.299999999999997;64.299999999999997;0.075200000000000003;U;1;60.799999999999997;691;19050;25.376342147301401;56.299999999999997;65.400000000000006;0.0746;U;1;65.700000000000003;745;18996;17.6491955890653;60.899999999999999;70.400000000000006;0.071800000000000003
0496083-6-C1_220;0496083-6-C1;220;;;25317;U;1;61.600000000000001;898;24419;11.923192924195501;57.600000000000001;65.700000000000003;0.0654;U;1;98.200000000000003;1415;23902;25.8116915410857;93.099999999999994;103.3;0.0521;U;1;95.400000000000006;1377;23940;17.9836245023515;90.400000000000006;100.5;0.0528
0496083-6-D1_230;0496083-6-D1;230;;;25328;U;1;46;673;24655;12.696511018059701;42.5;49.399999999999999;0.075600000000000001;U;1;66;961;24367;20.446738807658601;61.799999999999997;70.200000000000003;0.063200000000000006;U;1;68.200000000000003;992;24336;15.390980342933499;64;72.400000000000006;0.062199999999999998
0496210-6-A2_246;0496210-6-A2;246;;;23446;U;1;147.59999999999999;1943;21503;4.4537836293186999;141.09999999999999;154.19999999999999;0.044499999999999998;U;1;199.90000000000001;2591;20855;30.614593622897299;192.19999999999999;207.59999999999999;0.0385;U;1;150.90000000000001;1984;21462;15.576940551642901;144.30000000000001;157.59999999999999;0.043999999999999997
0496210-6-B2_247;0496210-6-B2;247;;;23673;U;1;147.59999999999999;1961;21712;13.5437856101177;141.09999999999999;154.09999999999999;0.044299999999999999;U;1;146.19999999999999;1944;21729;28.482945707444902;139.80000000000001;152.80000000000001;0.044499999999999998;U;1;151.59999999999999;2012;21661;15.4778346607331;145;158.19999999999999;0.043700000000000003
0496210-6-C2_251;0496210-6-C2;251;;;24159;U;1;33.200000000000003;466;23693;15.867835832991499;30.199999999999999;36.299999999999997;0.090800000000000006;U;1;35.299999999999997;495;23664;33.801466461018997;32.200000000000003;38.399999999999999;0.088099999999999998;U;1;32.700000000000003;458;23701;25.946082936268699;29.699999999999999;35.700000000000003;0.091600000000000001
0496210-6-D2_266;0496210-6-D2;266;;;20929;U;1;10.800000000000001;132;20797;12.319294037656;8.9600000000000009;12.6;0.17100000000000001;U;1;15.5;189;20740;11.983597754409001;13.300000000000001;17.699999999999999;0.14299999999999999;U;1;23;280;20649;21.035505826456099;20.300000000000001;25.699999999999999;0.11700000000000001
0496069-0-D3_NTC;0496069-0-D3;NTC;;;20869;N;1;0;0;20869;nan;0;0;inf;N;1;0;0;20869;nan;0;0;inf;N;1;0;0;20869;nan;0;0;inf
0496214-4-A1_030;0496214-4-A1;30;;;26591;U;1;4.8799999999999999;76;26515;15.315067444826999;3.79;5.9800000000000004;0.22500000000000001;U;1;4.3099999999999996;67;26524;27.093569808342199;3.2799999999999998;5.3399999999999999;0.23899999999999999;U;1;11.6;180;26411;22.377486019351402;9.9000000000000004;13.300000000000001;0.14599999999999999
0496214-4-B1_033;0496214-4-B1;33;;;26145;U;1;14.1;215;25930;12.561926844321;12.199999999999999;16;0.13400000000000001;U;1;9.6899999999999995;148;25997;25.7451533351778;8.1300000000000008;11.300000000000001;161;U;1;18.699999999999999;285;25860;20.659530852192599;16.5;20.899999999999999;0.11600000000000001
0496214-4-C1_035;0496214-4-C1;35;;;25199;U;1;103.40000000000001;1482;23717;13.540195722151701;98.200000000000003;108.7;0.050900000000000001;U;1;101;1448;23751;29.263239277471399;95.799999999999997;106.2;0.051499999999999997;U;1;100.09999999999999;1435;23764;18.962576683677302;94.900000000000006;105.3;0.051700000000000003
0496214-4-D1_038;0496214-4-D1;38;;;25196;U;1;121.09999999999999;1726;23470;11.4158613848972;115.40000000000001;126.8;0.047199999999999999;U;1;148;2093;23103;22.641756018823202;141.69999999999999;154.40000000000001;0.042900000000000001;U;1;129.90000000000001;1846;23350;15.3771261409511;123.90000000000001;135.80000000000001;0.045600000000000002
0496073-7-B4_081;0496073-7-B4;81;;;25533;U;1;61.899999999999999;910;24623;4.5690991105813303;57.899999999999999;66;0.065000000000000002;U;1;66.200000000000003;971;24562;26.062275142954199;62;70.299999999999997;0.062899999999999998;U;1;27.399999999999999;407;25126;21.298551972716901;24.800000000000001;30.100000000000001;0.097199999999999995
0496073-7-C4_090;0496073-7-C4;90;;;24858;U;1;1.72;25;24833;16.959009268474698;1.04;2.3900000000000001;0.39200000000000002;U;1;1.8500000000000001;27;24831;40.708611524429998;1.1599999999999999;2.5499999999999998;377;U;1;1.51;22;24836;16.8103796375073;0.88;2.1400000000000001;0.41799999999999998
0496073-7-D4_133;0496073-7-D4;133;;;25478;U;1;29.100000000000001;431;25047;11.295846236850799;26.399999999999999;31.899999999999999;0.094399999999999998;U;1;52.700000000000003;775;24703;29.671672609274701;49;56.399999999999999;0.070400000000000004;U;1;60.5;887;24591;19.4094639328538;56.5;64.5;0.065799999999999997
0496211-3-A2_047;0496211-3-A2;47;;;22632;U;1;5.29;70;22562;18.645572618660299;4.0499999999999998;6.5300000000000002;0.23400000000000001;U;1;5.1399999999999997;68;22564;46.295664705098602;3.9199999999999999;6.3600000000000003;0.23799999999999999;U;1;5.1399999999999997;68;22564;34.187539443821102;3.9199999999999999;6.3600000000000003;0.23799999999999999
0496211-3-B2_052;0496211-3-B2;52;;;25112;U;1;140.59999999999999;1986;23126;12.430451460490699;134.40000000000001;146.80000000000001;0.043999999999999997;U;1;141.90000000000001;2003;23109;27.146790269167099;135.69999999999999;148.09999999999999;0.043799999999999999;U;1;138.80000000000001;1962;23150;14.369952915548099;132.69999999999999;145;0.044299999999999999
0496211-3-C2_061;0496211-3-C2;61;;;21536;U;1;30.5;381;21155;15.3759571676151;27.399999999999999;33.5;0.10000000000000001;U;1;28;350;21186;38.813441762214097;25;30.899999999999999;105;U;1;57.899999999999999;718;20818;27.372709482190199;53.600000000000001;62.100000000000001;0.073200000000000001
0496211-3-D2_071;0496211-3-D2;71;;;22093;U;1;23.699999999999999;305;21788;5.74569217706697;21.100000000000001;26.399999999999999;112;U;1;25.199999999999999;324;21769;24.926270065626401;22.5;28;109;U;1;19.800000000000001;255;21838;20.294340555574699;17.399999999999999;22.199999999999999;123
0496213-7-A5_139;0496213-7-A5;139;;;24806;U;1;19.800000000000001;286;24520;15.6806020795084;17.5;22.100000000000001;0.11600000000000001;U;1;19.899999999999999;287;24519;27.771464903934799;17.600000000000001;22.199999999999999;0.11600000000000001;U;1;17.600000000000001;255;24551;23.120553623623799;15.5;19.800000000000001;123
0496213-7-B5_147;0496213-7-B5;147;;;24264;U;1;40.399999999999999;568;23696;14.408629251843101;37.100000000000001;43.799999999999997;0.082199999999999995;U;1;41.700000000000003;585;23679;29.236487735148401;38.299999999999997;45;0.081000000000000003;U;1;40.799999999999997;573;23691;17.462500305905198;37.5;44.100000000000001;0.081900000000000001
