ChamberName, ChamberID, SampleName, ChamberContext, PoolingID, TotalNumberOfDroplets, Blue_Channel_SampleType, Blue_Channel_ProcessedDilutionStock, Blue_Channel_Concentration, Blue_Channel_NumberOfPositiveDroplets, Blue_Channel_NumberOfNegativeDroplets, Blue_Channel_ConcentrationStock_Min, Blue_Channel_ConcentrationStock_Max, Blue_Channel_ConcentrationStock_RelativeUncertainty, Green_Channel_SampleType, Green_Channel_ProcessedDilutionStock, Green_Channel_Concentration, Green_Channel_NumberOfPositiveDroplets, Green_Channel_NumberOfNegativeDroplets, Green_Channel_ConcentrationStock_Min, Green_Channel_ConcentrationStock_Max, Green_Channel_ConcentrationStock_RelativeUncertainty, Red_Channel_SampleType, Red_Channel_ProcessedDilutionStock, Red_Channel_Concentration, Red_Channel_NumberOfPositiveDroplets, Red_Channel_NumberOfNegativeDroplets, Red_Channel_ConcentrationStock_Min, Red_Channel_ConcentrationStock_Max, Red_Channel_ConcentrationStock_RelativeUncertainty
0500073-9-A2_005, 0500073-9-A2,5, , ,24968, U,1,1015,11198,13770,996.7,1034,1.88%, U,1,976.5,10878,14090,958,995.2,1.91%, U,1,2011,17284,7684,1979,2043,1.58%
0500073-9-B2_005, 0500073-9-B2,5, , ,24028, U,1,1025,10849,13179,1005,1044,1.91%, U,1,1029,10880,13148,1009,1048,1.91%, U,1,2060,16845,7183,2028,2094,1.60%
0496120-8-A1_005, 0496120-8-A1,5, , ,22515, U,1,957.7,9669,12846,938.5,977.2,2.02%, U,1,962.5,9705,12810,943.2,982,2.02%, U,1,1922,15214,7301,1890,1954,1.67%
0496120-8-B1_005, 0496120-8-B1,5, , ,21726, U,1,965.7,9388,12338,946,985.6,2.05%, U,1,970.4,9422,12304,950.7,990.4,2.05%, U,1,1941,14761,6965,1908,1974,1.70%
0496120-8-C1_005, 0496120-8-C1,5, , ,20545, U,1,988.1,9030,11515,967.6,1008,2.09%, U,1,977.2,8956,11589,956.8,997.8,2.10%, U,1,1962,14037,6508,1928,1996,1.75%
0496120-8-D1_005, 0496120-8-D1,5, , ,23804, U,1,978,10383,13421,959,997.2,1.95%, U,1,970.4,10323,13481,951.5,989.5,1.96%, U,1,1979,16342,7462,1948,2012,1.62%
0473872-5-A1_025, 0473872-5-A1,25, , ,24826, U,1,2692,19701,5125,2651,2734,1.55%, U,1,3044,20656,4170,2998,3092,1.55%, U,1,2724,19795,5031,2682,2767,1.55%
0473872-5-B1_025, 0473872-5-B1,25, , ,25236, U,1,2885,20583,4653,2841,2930,1.54%, U,1,3166,21290,3946,3118,3216,1.54%, U,1,2858,20509,4727,2815,2903,1.53%
0473872-5-C1_025, 0473872-5-C1,25, , ,25455, U,1,2707,20246,5209,2666,2749,1.53%, U,1,2998,21062,4393,2953,3045,1.53%, U,1,2710,20253,5202,2669,2751,1.53%
0473872-5-D1_025, 0473872-5-D1,25, , ,26210, U,1,2756,20997,5213,2715,2798,1.50%, U,1,3056,21837,4373,3010,3102,1.51%, U,1,2763,21020,5190,2722,2805,1.50%
0501347-0-A2_025, 0501347-0-A2,25, , ,22637, U,1,2642,17823,4814,2599,2685,1.62%, U,1,2877,18443,4194,2831,2924,1.62%, U,1,2640,17818,4819,2598,2683,1.62%
0501347-0-B2_025, 0501347-0-B2,25, , ,22789, U,1,2720,18159,4630,2676,2764,1.61%, U,1,2976,18804,3985,2928,3024,1.62%, U,1,2714,18144,4645,2671,2758,1.61%
0501347-0-C2_025, 0501347-0-C2,25, , ,22091, U,1,2739,17655,4436,2695,2785,1.64%, U,1,2946,18161,3930,2898,2995,1.64%, U,1,2766,17724,4367,2721,2812,1.64%
0501347-0-D2_025, 0501347-0-D2,25, , ,22803, U,1,2688,18084,4719,2645,2732,1.61%, U,1,2963,18787,4016,2916,3012,1.62%, U,1,2674,18044,4759,2631,2717,1.61%
0501286-2-A1_035, 0501286-2-A1,35, , ,26008, U,1,1498,15196,10812,1473,1522,1.64%, U,1,1483,15103,10905,1459,1508,1.65%, U,1,1476,15057,10951,1452,1500,1.65%
0501286-2-B1_035, 0501286-2-B1,35, , ,24871, U,1,1515,14634,10237,1489,1540,1.67%, U,1,1489,14478,10393,1464,1514,1.68%, U,1,1492,14499,10372,1467,1517,1.68%
0501342-5-A3_035, 0501342-5-A3,35, , ,22077, U,1,1531,13078,8999,1504,1558,1.77%, U,1,1522,13028,9049,1495,1549,1.77%, U,1,1491,12862,9215,1464,1517,1.78%
