Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A12,HK-wt_bio3_b,ctrl,ctrl,0,longREF,69.42,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"1,388.42",,,73.76,65.1,17225,987,16238,0,987,0,"16,238.00",0,,,,,,,,994.98,,,,,,,,,,,,,,"4,222.96",245.56,473.47,,,,,71.63,67.21,,,,,,,,,,,,
A12,HK-wt_bio3_b,ctrl,ctrl,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,17225,0,17225,0,987,0,"16,238.00",0,,,,,,,,,,,,,,,,,,,,,,0,728.55,728.55,,,,,,,,,,,,,,,,,,
B12,Nup93#38_bio3_b,ctrl,ctrl,0,longREF,36.23,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,724.59,,,39.6,32.87,14707,446,14261,164,282,263,"13,998.00",12.76,,,,,,,,868.66,,,,,,,,,,,,,,"3,870.49",251.29,361.04,,,,,37.95,34.52,,,,,,,,,,,,
B12,Nup93#38_bio3_b,ctrl,ctrl,0,HDR,34.66,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,693.26,,,37.96,31.38,14707,427,14280,164,282,263,"13,998.00",12.76,2.87,,,3.25,2.49,3,,969.52,,,longREF,0.96,,,1.08,0.83,48.9,,,52.21,45.58,"1,620.19",737.83,763.44,,,,,36.34,32.99,,,3.06,2.68,,,1.02,0.89,,,50.59,47.2
C12,Nup93#70_bio3_b,ctrl,ctrl,0,longREF,54.71,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"1,094.20",,,58.55,50.88,17232,783,16449,252,531,451,"15,998.00",16.29,,,,,,,,985.32,,,,,,,,,,,,,,"3,998.82",255.02,425.13,,,,,56.67,52.76,,,,,,,,,,,,
C12,Nup93#70_bio3_b,ctrl,ctrl,0,HDR,49,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,980.04,,,52.63,45.38,17232,703,16529,252,531,451,"15,998.00",16.29,2.69,,,2.96,2.41,3,,978.11,,,longREF,0.9,,,0.99,0.8,47.25,,,49.79,44.71,"1,668.86",737.36,775.37,,,,,50.85,47.16,,,2.83,2.55,,,0.94,0.85,,,48.54,45.95
D12,Nup93#79_bio3_b,ctrl,ctrl,0,longREF,26.79,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,535.85,,,29.54,24.05,16255,366,15889,113,253,176,"15,713.00",8,,,,,,,,973.78,,,,,,,,,,,,,,"4,052.30",255.77,341.25,,,,,28.19,25.39,,,,,,,,,,,,
D12,Nup93#79_bio3_b,ctrl,ctrl,0,HDR,21.1,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,422.1,,,23.54,18.67,16255,289,15966,113,253,176,"15,713.00",8,2.36,,,2.73,2,3,,977.51,,,longREF,0.79,,,0.91,0.67,44.06,,,47.86,40.26,"1,694.27",739.49,756.47,,,,,22.35,19.86,,,2.55,2.18,,,0.85,0.73,,,46,42.12
E12,Nup93#92_bio3_b,ctrl,ctrl,0,longREF,48.83,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,976.55,,,52.51,45.16,16702,679,16023,160,519,470,"15,553.00",10.21,,,,,,,,950.34,,,,,,,,,,,,,,"3,953.11",250.54,401.06,,,,,50.7,46.95,,,,,,,,,,,,
E12,Nup93#92_bio3_b,ctrl,ctrl,0,HDR,45.24,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,904.7,,,48.77,41.71,16702,630,16072,160,519,470,"15,553.00",10.21,2.78,,,3.08,2.48,3,,959.98,,,longREF,0.93,,,1.03,0.83,48.09,,,50.8,45.38,"1,670.84",723.97,759.69,,,,,47.04,43.43,,,2.93,2.63,,,0.98,0.88,,,49.47,46.71
F12,Nup93#214_bio3_b,ctrl,ctrl,0,longREF,9.63,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,192.54,,,11.23,8.02,16933,138,16795,24,114,81,"16,714.00",1.63,,,,,,,,800.27,,,,,,,,,,,,,,"3,847.86",253.24,282.54,,,,,10.45,8.81,,,,,,,,,,,,
F12,Nup93#214_bio3_b,ctrl,ctrl,0,HDR,7.32,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,146.36,,,8.72,5.92,16933,105,16828,24,114,81,"16,714.00",1.63,2.28,,,2.86,1.7,3,,929.18,,,longREF,0.76,,,0.95,0.57,43.19,,,49.41,36.96,"1,629.26",729.26,734.84,,,,,8.03,6.6,,,2.58,1.99,,,0.86,0.66,,,46.36,40.01
G12,Nup62#199_bio3_b,ctrl,ctrl,0,longREF,15.97,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,319.35,,,18.02,13.92,17284,233,17051,0,233,0,"17,051.00",0,,,,,,,,933.6,,,,,,,,,,,,,,"4,082.83",250.74,302.4,,,,,17.01,14.92,,,,,,,,,,,,
G12,Nup62#199_bio3_b,ctrl,ctrl,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,17284,0,17284,0,233,0,"17,051.00",0,,,,,,,,,,,,,,,,,,,,,,0,724.42,724.42,,,,,,,,,,,,,,,,,,
H12,NTC,ctrl,ctrl,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,5254,0,5254,0,0,"3,893.00","1,361.00",0,,,,,,,,,,,,,,,,,,,,,,0,249.01,249.01,,,,,,,,,,,,,,,,,,
H12,NTC,ctrl,ctrl,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,5254,3893,1361,0,0,"3,893.00","1,361.00",0,,,,,,,,558.62,,,,,,,,,,,,,,798.33,429.31,702.74,,,,,,,,,,,,,,,,,,
