Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A12,HK-wt_bio3_c,ctrl,ctrl,0,shortREF,124.55,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,491.07",,,130.48,118.66,17002,1708,15294,0,"1,708.00",0,"15,294.00",0,,,,,,,,263.37,,,,,,,,,,,,,,"6,232.37",166.27,775.66,,,,,127.57,121.54,,,,,,,,,,,,
A12,HK-wt_bio3_c,ctrl,ctrl,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,17002,0,17002,0,"1,708.00",0,"15,294.00",0,,,,,,,,,,,,,,,,,,,,,,0,574.85,574.85,,,,,,,,,,,,,,,,,,
B12,Nup93#38_bio3_c,ctrl,ctrl,0,shortREF,49.86,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,997.16,,,53.5,46.22,17376,721,16655,321,400,388,"16,267.00",21.28,,,,,,,,,,,,,,,,,,,,,,"7,425.91",202.01,501.76,,,,,51.72,48,,,,,,,,,,,,
B12,Nup93#38_bio3_c,ctrl,ctrl,0,allGFP,49.01,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,980.22,,,52.62,45.41,17376,709,16667,321,400,388,"16,267.00",21.28,2.95,,,3.25,2.64,3,,,,,shortREF,0.98,,,1.08,0.88,49.57,,,52.16,46.98,"3,797.29",696.87,823.38,,,,,50.85,47.17,,,3.11,2.79,,,1.04,0.93,,,50.89,48.25
C12,Nup93#70_bio3_c,ctrl,ctrl,0,shortREF,33.75,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,675.02,,,36.69,30.82,17998,509,17489,197,312,354,"17,135.00",12.52,,,,,,,,"1,211.58",,,,,,,,,,,,,,"7,413.17",203.53,407.42,,,,,35.25,32.26,,,,,,,,,,,,
C12,Nup93#70_bio3_c,ctrl,ctrl,0,allGFP,36.58,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,731.6,,,39.64,33.53,17998,551,17447,197,312,354,"17,135.00",12.52,3.25,,,3.64,2.86,3,,,,,shortREF,1.08,,,1.21,0.95,52.01,,,55.02,49,"3,907.57",699.85,798.05,,,,,38.14,35.02,,,3.45,3.05,,,1.15,1.02,,,53.55,50.48
D12,Nup93#79_bio3_c,ctrl,ctrl,0,shortREF,33.21,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,664.26,,,36.16,30.27,17567,489,17078,172,317,254,"16,824.00",11.25,,,,,,,,"1,281.42",,,,,,,,,,,,,,"7,325.47",201.15,399.46,,,,,34.72,31.71,,,,,,,,,,,,
D12,Nup93#79_bio3_c,ctrl,ctrl,0,allGFP,28.88,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,577.62,,,31.63,26.14,17567,426,17141,172,317,254,"16,824.00",11.25,2.61,,,2.95,2.27,3,,"1,231.01",,,shortREF,0.87,,,0.98,0.76,46.51,,,49.74,43.28,"3,834.50",688.78,765.07,,,,,30.28,27.48,,,2.78,2.44,,,0.93,0.81,,,48.16,44.86
E12,Nup93#92_bio3_c,ctrl,ctrl,0,shortREF,64.41,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"1,288.16",,,68.65,60.18,16687,889,15798,378,511,782,"15,016.00",25.04,,,,,,,,"1,109.69",,,,,,,,,,,,,,"7,387.90",203.33,586.09,,,,,66.57,62.25,,,,,,,,,,,,
E12,Nup93#92_bio3_c,ctrl,ctrl,0,allGFP,84.76,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,695.28",,,89.65,79.9,16687,1160,15527,378,511,782,"15,016.00",25.04,3.95,,,4.29,3.6,3,,"1,187.70",,,shortREF,1.32,,,1.43,1.2,56.82,,,58.97,54.68,"3,906.57",693.78,917.11,,,,,87.26,82.28,,,4.12,3.77,,,1.37,1.26,,,57.92,55.73
F12,Nup93#214_bio3_c,ctrl,ctrl,0,shortREF,23.18,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,463.6,,,25.64,20.72,17478,341,17137,92,249,159,"16,978.00",6.05,,,,,,,,,,,,,,,,,,,,,,"7,499.00",206.46,348.74,,,,,24.44,21.93,,,,,,,,,,,,
