Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
H05,#136,2,1,,shortREF,978.61,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"19,572.18",,,"1,000.65",956.97,14465,8169,6296,"3,317.00","4,852.00","1,232.00","5,064.00",188.03,,,,,,,,"1,575.38",,,,,,,,,,,,,,"7,403.08",220.77,"4,276.92",,,,,989.8,967.52,,,,,,,,,,,,
H05,#136,2,1,,allGFP,444.21,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"8,884.29",,,457.27,431.3,14465,4549,9916,"3,317.00","4,852.00","1,232.00","5,064.00",188.03,1.36,,,1.41,1.31,3,,,,,shortREF,0.45,,,0.47,0.44,31.22,,,32.01,30.43,"3,472.33",700.55,"1,572.23",,,,,450.86,437.61,,,1.39,1.34,,,0.46,0.45,,,31.62,30.82
A06,#137,1,1,1,shortREF,401.23,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"8,024.63",,,413.27,389.32,15074,4356,10718,"3,204.00","1,152.00","1,550.00","9,168.00",261.98,,,,,,,,"1,488.96",,,,,,,,,,,,,,"7,352.59",216.61,"2,278.73",,,,,407.36,395.14,,,,,,,,,,,,
A06,#137,1,1,1,allGFP,445.75,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"8,915.00",,,458.57,433.07,15074,4754,10320,"3,204.00","1,152.00","1,550.00","9,168.00",261.98,3.33,,,3.47,3.2,3,,,,,shortREF,1.11,,,1.16,1.07,52.63,,,53.66,51.6,"3,549.40",686.42,"1,589.34",,,,,452.27,439.26,,,3.4,3.26,,,1.13,1.09,,,53.15,52.1
B06,#138,1,1,1,shortREF,857.2,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"17,144.00",,,876.17,838.53,16097,8329,7768,"6,349.00","1,980.00","4,518.00","3,250.00",297.49,,,,,,,,,,,,,,,,,,,,,,"6,695.27",210.66,"3,565.96",,,,,866.84,847.64,,,,,,,,,,,,
B06,#138,1,1,1,allGFP,"1,322.61",OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"26,452.28",,,"1,349.11","1,296.70",16097,10867,5230,"6,349.00","1,980.00","4,518.00","3,250.00",297.49,4.63,,,4.77,4.49,3,,,,,shortREF,1.54,,,1.59,1.5,60.68,,,61.38,59.97,"3,252.62",621.22,"2,397.66",,,,,"1,336.06","1,309.32",,,4.7,4.56,,,1.57,1.52,,,61.04,60.32
C06,#139,2,1,,shortREF,901.04,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"18,020.89",,,921.26,881.17,15237,8153,7084,"3,153.00","5,000.00","1,160.00","5,924.00",181.1,,,,,,,,"1,246.11",,,,,,,,,,,,,,"7,154.55",211.77,"3,926.71",,,,,911.31,890.86,,,,,,,,,,,,
C06,#139,2,1,,allGFP,391.49,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"7,829.75",,,403.28,379.81,15237,4313,10924,"3,153.00","5,000.00","1,160.00","5,924.00",181.1,1.3,,,1.35,1.25,3,,,,,shortREF,0.43,,,0.45,0.42,30.29,,,31.08,29.5,"3,313.69",669.99,"1,418.32",,,,,397.49,385.51,,,1.33,1.28,,,0.44,0.43,,,30.69,29.89
D06,#140,1,1,1,shortREF,534.38,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"10,687.55",,,547.94,520.97,16822,6141,10681,"3,333.00","2,808.00","1,580.00","9,101.00",218.01,,,,,,,,,,,,,,,,,,,,,,"7,365.17",218.81,"2,827.65",,,,,541.28,527.52,,,,,,,,,,,,
D06,#140,1,1,1,allGFP,406.34,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"8,126.90",,,417.82,394.98,16822,4913,11909,"3,333.00","2,808.00","1,580.00","9,101.00",218.01,2.28,,,2.37,2.2,3,,"1,300.89",,,shortREF,0.76,,,0.79,0.73,43.19,,,44.12,42.27,"3,487.69",683.63,"1,502.58",,,,,412.19,400.53,,,2.33,2.24,,,0.78,0.75,,,43.67,42.72
