Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,#193,,1,0,allGFP,19.43,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,388.56,,,21.95,16.91,13921,228,13693,66,90,162,"13,603.00",5.5,4.4,,,5.29,3.5,3,,,,,shortREF,1.47,,,1.76,1.17,59.44,,,64.35,54.53,"3,826.54",669.48,721.19,,,,,20.72,18.14,,,4.85,3.94,,,1.62,1.31,,,61.94,56.93
A01,#193,,1,0,shortREF,13.26,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,265.16,,,15.34,11.18,13921,156,13765,66,90,162,"13,603.00",5.5,,,,,,,,"1,254.88",,,,,,,,,,,,,,"7,341.10",201.11,281.12,,,,,14.32,12.2,,,,,,,,,,,,
B01,#194,,,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,13405,0,13405,0,0,0,"13,405.00",0,,,,,,,,,,,,,,,,,,,,,,0,207.78,207.78,,,,,,,,,,,,,,,,,,
B01,#194,,,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,13405,0,13405,0,0,0,"13,405.00",0,,,,,,,,,,,,,,,,,,,,,,0,675.28,675.28,,,,,,,,,,,,,,,,,,
C01,#195,,,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,11335,0,11335,0,0,0,"11,335.00",0,,,,,,,,,,,,,,,,,,,,,,0,211.4,211.4,,,,,,,,,,,,,,,,,,
C01,#195,,,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,11335,0,11335,0,0,0,"11,335.00",0,,,,,,,,,,,,,,,,,,,,,,0,672.56,672.56,,,,,,,,,,,,,,,,,,
D01,#196,3,1,0,allGFP,102.84,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"2,056.86",,,109.31,96.41,11672,977,10695,586,896,391,"9,799.00",56.81,1.93,,,2.09,1.78,3,,,,,shortREF,0.64,,,0.7,0.59,39.16,,,41.09,37.24,"3,327.83",679.01,900.73,,,,,106.14,99.56,,,2.01,1.85,,,0.67,0.62,,,40.15,38.18
D01,#196,3,1,0,shortREF,159.75,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"3,194.96",,,167.92,151.64,11672,1482,10190,586,896,391,"9,799.00",56.81,,,,,,,,,,,,,,,,,,,,,,"7,048.72",218.5,"1,085.74",,,,,163.91,155.6,,,,,,,,,,,,
E01,#197,2,1,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,8990,0,8990,0,0,0,"8,990.00",0,,,,,,,,,,,,,,,,,,,,,,0,200.87,200.87,,,,,,,,,,,,,,,,,,
E01,#197,2,1,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,8990,0,8990,0,0,0,"8,990.00",0,,,,,,,,,,,,,,,,,,,,,,0,606.5,606.5,,,,,,,,,,,,,,,,,,
