Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,#289,,1,0,shortREF,1.31,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,26.16,,,2.09,0.75,13499,15,13484,4,11,21,"13,463.00",0.35,,,,,,,,,,,,,,,,,,,,,,"6,987.43",189.7,197.26,,,,,1.68,1,,,,,,,,,,,,
A01,#289,,1,0,allGFP,2.18,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,43.62,,,3.16,1.43,13499,25,13474,4,11,21,"13,463.00",0.35,5,,,8.24,1.76,3,,,,,shortREF,1.67,,,2.75,0.59,62.51,,,77.69,47.33,"3,711.24",671.71,677.34,,,,,2.65,1.77,,,6.64,3.37,,,2.21,1.12,,,70.17,54.84
B01,#290,1,1,1,shortREF,"2,162.69",OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"43,253.88",,,"2,208.50","2,118.60",13923,11708,2215,586,"11,122.00","1,018.00","1,197.00",0,,,,,,,,"2,420.61",,,,,,,,,,,,,,"4,684.49",414.37,"4,005.16",,,,,"2,185.84","2,139.99",,,,,,,,,,,,
B01,#290,1,1,1,allGFP,144,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"2,879.99",,,151.07,136.97,13923,1604,12319,586,"11,122.00","1,018.00","1,197.00",0,0.2,,,0.21,0.19,3,,"1,036.18",,,shortREF,0.07,,,0.07,0.06,6.24,,,6.55,5.93,"1,504.05",694.38,787.66,,,,,147.6,140.41,,,0.21,0.19,,,0.07,0.06,,,6.4,6.08
C01,#291,1,1,1,shortREF,100.49,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,009.76",,,106.98,94.04,11323,927,10396,568,359,343,"10,053.00",59.21,,,,,,,,,,,,,,,,,,,,,,"7,030.15",202.44,761.41,,,,,103.79,97.19,,,,,,,,,,,,
C01,#291,1,1,1,allGFP,98.68,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,973.58",,,105.11,92.29,11323,911,10412,568,359,343,"10,053.00",59.21,2.95,,,3.22,2.68,3,,,,,shortREF,0.98,,,1.07,0.89,49.55,,,51.83,47.26,"3,440.57",684.73,906.45,,,,,101.95,95.41,,,3.08,2.81,,,1.03,0.94,,,50.71,48.38
D01,#292,1,1,1,shortREF,70.86,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"1,417.23",,,75.78,65.96,13703,801,12902,351,450,507,"12,395.00",28.91,,,,,,,,,,,,,,,,,,,,,,"7,065.84",204.26,605.34,,,,,73.37,68.36,,,,,,,,,,,,
D01,#292,1,1,1,allGFP,76.07,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,521.42",,,81.17,70.99,13703,858,12845,351,450,507,"12,395.00",28.91,3.22,,,3.53,2.91,3,,,,,shortREF,1.07,,,1.18,0.97,51.77,,,54.18,49.37,"3,696.02",684.75,873.3,,,,,78.67,73.48,,,3.38,3.06,,,1.13,1.02,,,53,50.55
E01,#293,,,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,3162,0,3162,0,0,0,"3,162.00",0,,,,,,,,,,,,,,,,,,,,,,0,216.66,216.66,,,,,,,,,,,,,,,,,,
E01,#293,,,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,3162,0,3162,0,0,0,"3,162.00",0,,,,,,,,,,,,,,,,,,,,,,0,711.28,711.28,,,,,,,,,,,,,,,,,,
F01,#294,1,1,0,shortREF,457.06,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"9,141.25",,,470.17,444.1,14848,4780,10068,"2,812.00","1,968.00","4,849.00","5,219.00",80.63,,,,,,,,,,,,,,,,,,,,,,"6,981.89",206.55,"2,387.73",,,,,463.73,450.43,,,,,,,,,,,,
F01,#294,1,1,0,allGFP,853.64,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"17,072.74",,,873.34,834.26,14848,7661,7187,"2,812.00","1,968.00","4,849.00","5,219.00",80.63,5.6,,,5.81,5.4,3,,,,,shortREF,1.87,,,1.94,1.8,65.13,,,65.96,64.3,"3,698.76",690.78,"2,242.78",,,,,863.65,843.71,,,5.71,5.5,,,1.9,1.83,,,65.55,64.7
G01,#295,,1,0,shortREF,40.9,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,818.01,,,44.45,37.37,15014,513,14501,79,434,242,"14,259.00",5.63,,,,,,,,,,,,,,,,,,,,,,"6,951.35",199.53,430.23,,,,,42.71,39.1,,,,,,,,,,,,
G01,#295,,1,0,allGFP,25.43,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,508.52,,,28.21,22.65,15014,321,14693,79,434,242,"14,259.00",5.63,1.86,,,2.13,1.6,3,,,,,shortREF,0.62,,,0.71,0.53,38.33,,,41.63,35.04,"3,777.47",675.25,741.57,,,,,26.85,24.01,,,2,1.73,,,0.67,0.58,,,40.02,36.65
H01,#296,,,0,shortREF,0.84,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,16.78,,,1.44,0.43,15426,11,15415,2,9,10,"15,405.00",0.15,,,,,,,,269.46,,,,,,,,,,,,,,868.04,196.72,197.19,,,,,1.12,0.61,,,,,,,,,,,,
H01,#296,,,0,allGFP,0.92,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,18.31,,,1.54,0.49,15426,12,15414,2,9,10,"15,405.00",0.15,3.27,,,6,0.55,3,,834.44,,,shortREF,1.09,,,2,0.18,52.17,,,72.94,31.4,"2,033.91",670.82,671.88,,,,,1.21,0.68,,,4.65,1.9,,,1.55,0.63,,,62.64,41.71
A02,#297,,1,0,shortREF,5.37,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,107.35,,,7.06,3.97,10325,47,10278,18,29,30,"10,248.00",2.04,,,,,,,,,,,,,,,,,,,,,,"6,849.46",194.43,224.72,,,,,6.19,4.62,,,,,,,,,,,,
A02,#297,,1,0,allGFP,5.48,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,109.64,,,7.19,4.07,10325,48,10277,18,29,30,"10,248.00",2.04,3.06,,,4.3,1.82,3,,,,,shortREF,1.02,,,1.43,0.61,50.53,,,60.65,40.41,"3,648.18",680.18,693.97,,,,,6.31,4.73,,,3.69,2.44,,,1.23,0.81,,,55.65,45.4
B02,#298,2,1,0,shortREF,47.07,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,941.39,,,51.5,42.66,11117,436,10681,63,373,364,"10,317.00",5.29,,,,,,,,,,,,,,,,,,,,,,"6,969.84",200.68,466.16,,,,,49.33,44.82,,,,,,,,,,,,
B02,#298,2,1,0,allGFP,46.08,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,921.57,,,50.46,41.72,11117,427,10690,63,373,364,"10,317.00",5.29,2.94,,,3.33,2.54,3,,,,,shortREF,0.98,,,1.11,0.85,49.47,,,52.8,46.13,"3,810.61",677.67,798.01,,,,,48.31,43.85,,,3.14,2.74,,,1.05,0.91,,,51.17,47.77
C02,#299,3,1,0,shortREF,112.65,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,252.96",,,119.67,105.67,10897,995,9902,0,995,0,"9,902.00",0,,,,,,,,465.66,,,,,,,,,,,,,,"1,010.32",195.87,270.24,,,,,116.23,109.08,,,,,,,,,,,,
C02,#299,3,1,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,10897,0,10897,0,995,0,"9,902.00",0,,,,,,,,,,,,,,,,,,,,,,0,639.03,639.03,,,,,,,,,,,,,,,,,,
D02,#300,,1,0,shortREF,4.01,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,80.23,,,5.26,2.98,14101,48,14053,5,43,17,"14,036.00",0.41,,,,,,,,,,,,,,,,,,,,,,"6,792.23",201.89,224.33,,,,,4.62,3.46,,,,,,,,,,,,
D02,#300,,1,0,allGFP,1.84,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,36.74,,,2.72,1.17,14101,22,14079,5,43,17,"14,036.00",0.41,1.37,,,2.07,0.67,3,,,,,shortREF,0.46,,,0.69,0.22,31.41,,,42.37,20.45,"3,637.90",679.74,684.36,,,,,2.26,1.47,,,1.73,1.02,,,0.58,0.34,,,36.95,25.86
E02,#301,1,1,1,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,7366,506,6860,210,296,236,"6,624.00",32.3,,,,,,,,,,,,,,,,,,,,,,"7,086.43",213.22,685.37,,,,,,,,,,,,,,,,,,
E02,#301,1,1,1,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,7366,446,6920,210,296,236,"6,624.00",32.3,,,,,,,,,,,,,,,,,,,,,,"3,572.05",697.13,871.2,,,,,,,,,,,,,,,,,,
F02,#302,,,0,shortREF,11.75,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,235.05,,,13.91,9.6,11469,114,11355,17,97,25,"11,330.00",1.72,,,,,,,,"1,316.20",,,,,,,,,,,,,,"6,909.12",204.68,271.32,,,,,12.85,10.65,,,,,,,,,,,,
F02,#302,,,0,allGFP,4.32,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,86.32,,,5.76,3.14,11469,42,11427,17,97,25,"11,330.00",1.72,1.1,,,1.49,0.71,3,,,,,shortREF,0.37,,,0.5,0.24,26.86,,,33.84,19.88,"3,515.25",687.27,697.62,,,,,5.02,3.69,,,1.3,0.9,,,0.43,0.3,,,30.4,23.32
G02,#303,2,1,0,shortREF,111.43,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,228.57",,,117.68,105.21,13589,1228,12361,158,"1,070.00",233,"12,128.00",11.96,,,,,,,,,,,,,,,,,,,,,,"7,061.33",205.75,825.27,,,,,114.61,108.25,,,,,,,,,,,,
G02,#303,2,1,0,allGFP,34.35,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,686.95,,,37.76,30.95,13589,391,13198,158,"1,070.00",233,"12,128.00",11.96,0.92,,,1.03,0.82,3,,,,,shortREF,0.31,,,0.34,0.27,23.56,,,25.61,21.51,"3,617.50",692.18,776.35,,,,,36.09,32.61,,,0.98,0.87,,,0.33,0.29,,,24.61,22.52
H02,#304,,,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,11814,0,11814,0,0,6,"11,808.00",0,,,,,,,,,,,,,,,,,,,,,,0,204.12,204.12,,,,,,,,,,,,,,,,,,
H02,#304,,,0,allGFP,0.6,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,11.95,,,1.22,0.23,11814,6,11808,0,0,6,"11,808.00",0,,,,,,,,867.86,,,,,,,,,,,,,,"1,366.97",686.65,687,,,,,0.88,0.38,,,,,,,,,,,,
A03,#305,3,1,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,6767,270,6497,106,164,55,"6,442.00",18.33,,,,,,,,"1,055.12",,,,,,,,,,,,,,"6,508.56",191.12,443.18,,,,,,,,,,,,,,,,,,
