Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,#193,,1,0,HDR,1.75,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,35.05,,,2.59,1.12,14781,22,14759,6,19,16,"14,740.00",0.48,2.64,,,4.17,1.11,3,,887.95,,,longREF,0.88,,,1.39,0.37,46.81,,,61.2,32.41,"1,370.19",738.11,739.05,,,,,2.15,1.41,,,3.41,1.87,,,1.14,0.62,,,54.08,39.53
A01,#193,,1,0,longREF,1.99,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,39.83,,,2.88,1.31,14781,25,14756,6,19,16,"14,740.00",0.48,,,,,,,,779.74,,,,,,,,,,,,,,"3,495.10",221.86,227.4,,,,,2.42,1.62,,,,,,,,,,,,
B01,#194,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,9613,0,9613,0,0,0,"9,613.00",0,,,,,,,,,,,,,,,,,,,,,,0,737.03,737.03,,,,,,,,,,,,,,,,,,
B01,#194,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,9613,0,9613,0,0,0,"9,613.00",0,,,,,,,,,,,,,,,,,,,,,,0,228.63,228.63,,,,,,,,,,,,,,,,,,
C01,#195,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,9727,0,9727,0,0,0,"9,727.00",0,,,,,,,,,,,,,,,,,,,,,,0,727.05,727.05,,,,,,,,,,,,,,,,,,
C01,#195,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,9727,0,9727,0,0,0,"9,727.00",0,,,,,,,,,,,,,,,,,,,,,,0,230.11,230.11,,,,,,,,,,,,,,,,,,
D01,#196,3,1,0,HDR,46.56,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,931.21,,,50.96,42.18,11133,432,10701,216,388,216,"10,313.00",22.17,2.13,,,2.39,1.87,3,,978.15,,,longREF,0.71,,,0.8,0.62,41.5,,,44.5,38.5,"1,582.42",750.97,783.24,,,,,48.8,44.32,,,2.26,1.99,,,0.75,0.66,,,43.03,39.97
D01,#196,3,1,0,longREF,65.62,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"1,312.48",,,70.87,60.4,11133,604,10529,216,388,216,"10,313.00",22.17,,,,,,,,922.33,,,,,,,,,,,,,,"3,602.63",239.91,422.35,,,,,68.3,62.96,,,,,,,,,,,,
E01,#197,2,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,13629,0,13629,0,0,0,"13,629.00",0,,,,,,,,,,,,,,,,,,,,,,0,662.99,662.99,,,,,,,,,,,,,,,,,,
E01,#197,2,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,13629,0,13629,0,0,0,"13,629.00",0,,,,,,,,,,,,,,,,,,,,,,0,215.75,215.75,,,,,,,,,,,,,,,,,,
F01,#198,2,1,0,HDR,100.52,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"2,010.45",,,106.52,94.56,13273,1087,12186,0,"7,618.00","1,087.00","4,568.00",0,0.3,,,0.32,0.28,3,,,,,longREF,0.1,,,0.11,0.09,9.1,,,9.63,8.57,"1,303.02",894.02,927.52,,,,,103.58,97.48,,,0.31,0.29,,,0.1,0.1,,,9.37,8.83
F01,#198,2,1,0,longREF,"1,003.76",OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"20,075.10",,,"1,027.22",980.75,13273,7618,5655,0,"7,618.00","1,087.00","4,568.00",0,,,,,,,,,,,,,,,,,,,,,,"2,519.49",238.46,"1,547.65",,,,,"1,015.67",991.96,,,,,,,,,,,,
G01,#199,3,1,0,HDR,210.19,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"4,203.74",,,218.87,201.57,13899,2274,11625,"1,062.00","1,263.00","1,212.00","10,362.00",80.05,2.93,,,3.1,2.76,3,,951,,,longREF,0.98,,,1.03,0.92,49.39,,,50.84,47.95,"1,456.68",735.28,853.31,,,,,214.61,205.78,,,3.01,2.84,,,1,0.95,,,50.13,48.65
G01,#199,3,1,0,longREF,215.36,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"4,307.19",,,224.16,206.63,13899,2325,11574,"1,062.00","1,263.00","1,212.00","10,362.00",80.05,,,,,,,,862.98,,,,,,,,,,,,,,"3,210.78",233.33,731.39,,,,,219.84,210.9,,,,,,,,,,,,
H01,#200,3,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,13852,0,13852,0,"9,663.00",0,"4,189.00",0,,,,,,,,,,,,,,,,,,,,,,0,819.54,819.54,,,,,,,,,,,,,,,,,,
H01,#200,3,1,0,longREF,"1,407.02",OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"28,140.41",,,"1,437.16","1,377.63",13852,9663,4189,0,"9,663.00",0,"4,189.00",0,,,,,,,,"1,261.09",,,,,,,,,,,,,,"1,928.18",481.58,"1,490.71",,,,,"1,422.30","1,391.94",,,,,,,,,,,,
A02,#201,3,1,0,HDR,8.52,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,170.36,,,10.61,6.73,10396,75,10321,43,53,32,"10,268.00",4.86,2.34,,,3.05,1.63,3,,"1,263.25",,,longREF,0.78,,,1.02,0.54,43.83,,,51.32,36.35,"1,478.00","1,080.60","1,083.47",,,,,9.54,7.57,,,2.7,1.98,,,0.9,0.66,,,47.63,40.04
A02,#201,3,1,0,longREF,10.91,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,218.29,,,13.26,8.86,10396,96,10300,43,53,32,"10,268.00",4.86,,,,,,,,696.22,,,,,,,,,,,,,,"1,701.28",330.44,343.1,,,,,12.07,9.84,,,,,,,,,,,,
B02,#202,3,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,11563,0,11563,0,0,0,"11,563.00",0,,,,,,,,,,,,,,,,,,,,,,0,735.6,735.6,,,,,,,,,,,,,,,,,,
B02,#202,3,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,11563,0,11563,0,0,0,"11,563.00",0,,,,,,,,,,,,,,,,,,,,,,0,230.74,230.74,,,,,,,,,,,,,,,,,,
C02,#203,1,1,1,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,12559,0,12559,0,0,0,"12,559.00",0,,,,,,,,,,,,,,,,,,,,,,0,919.31,919.31,,,,,,,,,,,,,,,,,,
C02,#203,1,1,1,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,12559,0,12559,0,0,0,"12,559.00",0,,,,,,,,,,,,,,,,,,,,,,0,289.17,289.17,,,,,,,,,,,,,,,,,,
D02,#204,1,1,1,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,13960,0,13960,0,0,0,"13,960.00",0,,,,,,,,,,,,,,,,,,,,,,0,801.72,801.72,,,,,,,,,,,,,,,,,,
D02,#204,1,1,1,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,13960,0,13960,0,0,0,"13,960.00",0,,,,,,,,,,,,,,,,,,,,,,0,256.35,256.35,,,,,,,,,,,,,,,,,,
E02,#205,1,1,1,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,11252,0,11252,0,0,0,"11,252.00",0,,,,,,,,,,,,,,,,,,,,,,0,710.6,710.6,,,,,,,,,,,,,,,,,,
