Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,#289,,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,12476,0,12476,0,0,0,"12,476.00",0,,,,,,,,,,,,,,,,,,,,,,0,232.01,232.01,,,,,,,,,,,,,,,,,,
A01,#289,,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,12476,0,12476,0,0,0,"12,476.00",0,,,,,,,,,,,,,,,,,,,,,,0,720.45,720.45,,,,,,,,,,,,,,,,,,
B01,#290,1,1,1,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,9985,1474,8511,0,"1,474.00",0,"8,511.00",0,,,,,,,,467.96,,,,,,,,,,,,,,702.39,260.03,325.33,,,,,,,,,,,,,,,,,,
B01,#290,1,1,1,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,9985,0,9985,0,"1,474.00",0,"8,511.00",0,,,,,,,,,,,,,,,,,,,,,,0,700.29,700.29,,,,,,,,,,,,,,,,,,
C01,#291,1,1,1,longREF,53.71,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"1,074.30",,,58.27,49.18,12032,537,11495,280,257,261,"11,234.00",27.1,,,,,,,,885.35,,,,,,,,,,,,,,"3,561.38",231.99,380.58,,,,,56.04,51.4,,,,,,,,,,,,
C01,#291,1,1,1,HDR,54.12,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,082.49",,,58.69,49.57,12032,541,11491,280,257,261,"11,234.00",27.1,3.02,,,3.38,2.66,3,,941.94,,,longREF,1.01,,,1.13,0.89,50.19,,,53.17,47.2,"1,508.49",714.43,750.13,,,,,56.45,51.8,,,3.21,2.84,,,1.07,0.95,,,51.71,48.67
D01,#292,1,1,1,longREF,35.23,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,704.58,,,39.02,31.45,11254,332,10922,107,225,183,"10,739.00",10.83,,,,,,,,847.7,,,,,,,,,,,,,,"3,747.73",229.82,333.6,,,,,37.16,33.3,,,,,,,,,,,,
D01,#292,1,1,1,HDR,30.71,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,614.27,,,34.25,27.18,11254,290,10964,107,225,183,"10,739.00",10.83,2.62,,,3.03,2.2,3,,926.32,,,longREF,0.87,,,1.01,0.73,46.58,,,50.5,42.66,"1,570.26",702.74,725.09,,,,,32.52,28.91,,,2.83,2.41,,,0.94,0.8,,,48.58,44.58
E01,#293,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,9014,0,9014,0,0,0,"9,014.00",0,,,,,,,,,,,,,,,,,,,,,,0,231.92,231.92,,,,,,,,,,,,,,,,,,
E01,#293,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,9014,0,9014,0,0,0,"9,014.00",0,,,,,,,,,,,,,,,,,,,,,,0,708.35,708.35,,,,,,,,,,,,,,,,,,
F01,#294,1,1,0,longREF,254.81,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"5,096.19",,,264.71,244.99,13228,2576,10652,677,"1,899.00","1,764.00","8,888.00",27,,,,,,,,"1,014.07",,,,,,,,,,,,,,"3,895.79",235.64,948.41,,,,,259.85,249.79,,,,,,,,,,,,
F01,#294,1,1,0,HDR,239.99,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"4,799.86",,,249.57,230.49,13228,2441,10787,677,"1,899.00","1,764.00","8,888.00",27,2.83,,,2.98,2.67,3,,975.54,,,longREF,0.94,,,0.99,0.89,48.5,,,49.89,47.12,"1,630.46",717.34,885.84,,,,,244.87,235.14,,,2.91,2.75,,,0.97,0.92,,,49.21,47.8
G01,#295,,1,0,longREF,18.32,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,366.44,,,20.68,15.97,15078,233,14845,11,222,78,"14,767.00",0.77,,,,,,,,924.25,,,,,,,,,,,,,,"3,818.88",235.71,291.08,,,,,19.52,17.12,,,,,,,,,,,,
G01,#295,,1,0,HDR,6.96,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,139.3,,,8.52,5.61,15078,89,14989,11,222,78,"14,767.00",0.77,1.14,,,1.42,0.86,3,,880.38,,,longREF,0.38,,,0.47,0.29,27.54,,,32.44,22.65,"1,398.15",717.89,721.9,,,,,7.73,6.25,,,1.28,1,,,0.43,0.33,,,30.03,25.06
H01,#296,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,9273,0,9273,0,0,0,"9,273.00",0,,,,,,,,,,,,,,,,,,,,,,0,233.95,233.95,,,,,,,,,,,,,,,,,,
H01,#296,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,9273,0,9273,0,0,0,"9,273.00",0,,,,,,,,,,,,,,,,,,,,,,0,712.59,712.59,,,,,,,,,,,,,,,,,,
A02,#297,,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,14269,0,14269,0,0,0,"14,269.00",0,,,,,,,,,,,,,,,,,,,,,,0,235.29,235.29,,,,,,,,,,,,,,,,,,
A02,#297,,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14269,0,14269,0,0,0,"14,269.00",0,,,,,,,,,,,,,,,,,,,,,,0,726.39,726.39,,,,,,,,,,,,,,,,,,
B02,#298,2,1,0,longREF,24.32,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,486.39,,,26.9,21.74,16716,342,16374,25,317,106,"16,268.00",1.62,,,,,,,,888.43,,,,,,,,,,,,,,"3,861.88",237.07,311.24,,,,,25.64,23.01,,,,,,,,,,,,
B02,#298,2,1,0,HDR,9.26,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,185.12,,,10.84,7.67,16716,131,16585,25,317,106,"16,268.00",1.62,1.14,,,1.37,0.91,3,,963.08,,,longREF,0.38,,,0.46,0.3,27.57,,,31.59,23.55,"1,621.18",725.23,732.25,,,,,10.07,8.45,,,1.26,1.02,,,0.42,0.34,,,29.62,25.52
C02,#299,3,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,14357,0,14357,0,0,0,"14,357.00",0,,,,,,,,,,,,,,,,,,,,,,0,220.4,220.4,,,,,,,,,,,,,,,,,,
C02,#299,3,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14357,0,14357,0,0,0,"14,357.00",0,,,,,,,,,,,,,,,,,,,,,,0,671.3,671.3,,,,,,,,,,,,,,,,,,
D02,#300,,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,4264,0,4264,0,0,0,"4,264.00",0,,,,,,,,,,,,,,,,,,,,,,0,203.95,203.95,,,,,,,,,,,,,,,,,,
D02,#300,,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,4264,0,4264,0,0,0,"4,264.00",0,,,,,,,,,,,,,,,,,,,,,,0,620.39,620.39,,,,,,,,,,,,,,,,,,
E02,#301,1,1,1,longREF,47.41,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,948.28,,,51.42,43.43,13696,541,13155,219,322,296,"12,859.00",18.32,,,,,,,,865.18,,,,,,,,,,,,,,"3,577.86",234.92,366.97,,,,,49.45,45.38,,,,,,,,,,,,
E02,#301,1,1,1,HDR,45.09,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,901.82,,,48.99,41.2,13696,515,13181,219,322,296,"12,859.00",18.32,2.85,,,3.2,2.51,3,,932.85,,,longREF,0.95,,,1.07,0.84,48.74,,,51.76,45.73,"1,522.39",713.81,744.22,,,,,47.08,43.11,,,3.03,2.68,,,1.01,0.89,,,50.28,47.21
F02,#302,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,4558,0,4558,0,0,0,"4,558.00",0,,,,,,,,,,,,,,,,,,,,,,0,220.23,220.23,,,,,,,,,,,,,,,,,,
F02,#302,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,4558,0,4558,0,0,0,"4,558.00",0,,,,,,,,,,,,,,,,,,,,,,0,660.67,660.67,,,,,,,,,,,,,,,,,,
G02,#303,2,1,0,longREF,61.67,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"1,233.33",,,65.83,57.52,16547,845,15702,94,751,183,"15,519.00",6.07,,,,,,,,891.76,,,,,,,,,,,,,,"3,713.94",236.4,413.98,,,,,63.79,59.55,,,,,,,,,,,,
G02,#303,2,1,0,HDR,19.86,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,397.22,,,22.2,17.52,16547,277,16270,94,751,183,"15,519.00",6.07,0.97,,,1.1,0.84,3,,930.9,,,longREF,0.32,,,0.37,0.28,24.36,,,26.86,21.86,"1,538.22",714.71,728.5,,,,,21.06,18.67,,,1.03,0.9,,,0.34,0.3,,,25.64,23.09
H02,#304,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,11468,0,11468,0,0,0,"11,468.00",0,,,,,,,,,,,,,,,,,,,,,,0,229.18,229.18,,,,,,,,,,,,,,,,,,
H02,#304,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,11468,0,11468,0,0,0,"11,468.00",0,,,,,,,,,,,,,,,,,,,,,,0,697.22,697.22,,,,,,,,,,,,,,,,,,
A03,#305,3,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,
A03,#305,3,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,
