Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
H05,#136,2,1,,longREF,716.24,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"14,324.88",,,731.09,701.59,20489,9343,11146,"2,598.00","6,745.00","1,151.00","9,995.00",109.52,,,,,,,,"1,149.21",,,,,,,,,,,,,,"3,791.87",249.51,"1,864.83",,,,,723.79,708.74,,,,,,,,,,,,
H05,#136,2,1,,HDR,237.75,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"4,754.99",,,245.4,230.15,20489,3749,16740,"2,598.00","6,745.00","1,151.00","9,995.00",109.52,0.66,,,0.69,0.64,2,,940.9,,,longREF,0.33,,,0.34,0.32,24.92,,,25.63,24.21,"1,466.67",718.82,855.66,,,,,241.65,233.87,,,0.68,0.65,,,0.34,0.33,,,25.29,24.56
A06,#137,1,1,1,longREF,344.07,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"6,881.39",,,353.58,334.64,20144,5108,15036,"3,153.00","1,955.00","1,779.00","13,257.00",182.24,,,,,,,,990.34,,,,,,,,,,,,,,"3,610.49",241.92,"1,096.10",,,,,348.91,339.25,,,,,,,,,,,,
A06,#137,1,1,1,HDR,330.38,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"6,607.57",,,339.67,321.16,20144,4932,15212,"3,153.00","1,955.00","1,779.00","13,257.00",182.24,1.92,,,2,1.85,2,,930.96,,,longREF,0.96,,,1,0.92,48.99,,,49.97,48,"1,494.85",700.32,894.85,,,,,335.11,325.67,,,1.96,1.88,,,0.98,0.94,,,49.49,48.48
B06,#138,1,1,1,longREF,578.98,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"11,579.54",,,592.06,566.03,19960,7758,12202,"2,850.00","4,908.00","2,331.00","9,871.00",104.15,,,,,,,,"1,015.69",,,,,,,,,,,,,,"3,462.30",242.32,"1,493.85",,,,,585.64,572.36,,,,,,,,,,,,
B06,#138,1,1,1,HDR,353.56,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"7,071.13",,,363.26,343.93,19960,5181,14779,"2,850.00","4,908.00","2,331.00","9,871.00",104.15,1.22,,,1.26,1.18,2,,912.84,,,longREF,0.61,,,0.63,0.59,37.91,,,38.75,37.08,"1,401.68",693.39,877.24,,,,,358.5,348.64,,,1.24,1.2,,,0.62,0.6,,,38.34,37.49
C06,#139,2,1,,longREF,764.58,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"15,291.60",,,780.66,748.71,19071,9114,9957,"2,354.00","6,760.00","1,117.00","8,840.00",96.36,,,,,,,,"1,040.63",,,,,,,,,,,,,,"3,509.30",234.91,"1,799.74",,,,,772.76,756.46,,,,,,,,,,,,
C06,#139,2,1,,HDR,236.35,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"4,727.01",,,244.25,228.5,19071,3471,15600,"2,354.00","6,760.00","1,117.00","8,840.00",96.36,0.62,,,0.64,0.59,2,,883.92,,,longREF,0.31,,,0.32,0.3,23.61,,,24.32,22.9,"1,326.38",671.06,790.33,,,,,240.38,232.34,,,0.63,0.61,,,0.32,0.3,,,23.98,23.25
D06,#140,1,1,1,longREF,442.33,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"8,846.68",,,453.48,431.3,19736,6185,13551,"2,494.00","3,691.00","1,665.00","11,886.00",124.18,,,,,,,,942.64,,,,,,,,,,,,,,"3,441.46",240.41,"1,243.58",,,,,448.01,436.69,,,,,,,,,,,,
D06,#140,1,1,1,HDR,278.41,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"5,568.21",,,286.92,269.96,19736,4159,15577,"2,494.00","3,691.00","1,665.00","11,886.00",124.18,1.26,,,1.31,1.21,2,,900.37,,,longREF,0.63,,,0.65,0.6,38.63,,,39.56,37.69,"1,398.08",691.93,840.74,,,,,282.75,274.09,,,1.28,1.23,,,0.64,0.62,,,39.11,38.15
E06,#141,3,1,,longREF,817.92,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"16,358.40",,,834.51,801.57,19685,9863,9822,"4,619.00","5,244.00","2,254.00","7,568.00",198.56,,,,,,,,"1,019.99",,,,,,,,,,,,,,"3,466.92",235.23,"1,854.44",,,,,826.35,809.55,,,,,,,,,,,,
E06,#141,3,1,,HDR,505.26,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"10,105.29",,,517.36,493.29,19685,6873,12812,"4,619.00","5,244.00","2,254.00","7,568.00",198.56,1.24,,,1.27,1.2,2,,902.48,,,longREF,0.62,,,0.64,0.6,38.19,,,38.92,37.45,"1,381.72",679.25,924.52,,,,,511.42,499.14,,,1.26,1.22,,,0.63,0.61,,,38.56,37.81
F06,#142,1,1,1,longREF,347.74,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"6,954.75",,,357.55,338.01,19160,4903,14257,"2,149.00","2,754.00","2,296.00","11,961.00",103.95,,,,,,,,902.93,,,,,,,,,,,,,,"3,194.27",229.29,988.02,,,,,352.73,342.76,,,,,,,,,,,,
F06,#142,1,1,1,HDR,310.54,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"6,210.76",,,319.73,301.42,19160,4445,14715,"2,149.00","2,754.00","2,296.00","11,961.00",103.95,1.79,,,1.86,1.71,2,,880.37,,,longREF,0.89,,,0.93,0.86,47.17,,,48.19,46.16,"1,344.38",667.82,824.78,,,,,315.22,305.88,,,1.82,1.75,,,0.91,0.87,,,47.69,46.66
G06,#143,,1,,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,19459,0,19459,0,0,0,"19,459.00",0,,,,,,,,,,,,,,,,,,,,,,0,229.89,229.89,,,,,,,,,,,,,,,,,,
G06,#143,,1,,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,19459,0,19459,0,0,0,"19,459.00",0,,,,,,,,,,,,,,,,,,,,,,0,672.19,672.19,,,,,,,,,,,,,,,,,,
H06,#144,2,1,,longREF,138.18,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,763.66",,,144.15,132.24,18688,2071,16617,605,"1,466.00",684,"15,933.00",34.63,,,,,,,,930.32,,,,,,,,,,,,,,"3,513.64",241,603.67,,,,,141.22,135.15,,,,,,,,,,,,
H06,#144,2,1,,HDR,84.08,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,681.62",,,88.68,79.5,18688,1289,17399,605,"1,466.00",684,"15,933.00",34.63,1.22,,,1.3,1.13,2,,903.98,,,longREF,0.61,,,0.65,0.57,37.83,,,39.47,36.19,"1,452.17",695.52,747.71,,,,,86.43,81.74,,,1.26,1.17,,,0.63,0.59,,,38.66,36.99
A07,#145,1,1,1,longREF,48.92,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,978.32,,,52.35,45.49,19226,783,18443,197,586,308,"18,135.00",11.5,,,,,,,,879.65,,,,,,,,,,,,,,"3,769.79",237.3,381.17,,,,,50.67,47.17,,,,,,,,,,,,
A07,#145,1,1,1,HDR,31.31,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,626.3,,,34.05,28.59,19226,505,18721,197,586,308,"18,135.00",11.5,1.28,,,1.42,1.14,2,,901.97,,,longREF,0.64,,,0.71,0.57,39.03,,,41.69,36.37,"1,539.77",690.86,713.16,,,,,32.71,29.92,,,1.35,1.21,,,0.68,0.6,,,40.39,37.67
B07,#146,1,1,1,longREF,570.75,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"11,415.05",,,583.93,557.72,19345,7436,11909,"4,826.00","2,610.00","2,266.00","9,643.00",288.94,,,,,,,,967.61,,,,,,,,,,,,,,"3,320.27",242.22,"1,425.39",,,,,577.46,564.09,,,,,,,,,,,,
B07,#146,1,1,1,HDR,537.25,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"10,745.02",,,549.93,524.71,19345,7092,12253,"4,826.00","2,610.00","2,266.00","9,643.00",288.94,1.88,,,1.94,1.82,2,,914.98,,,longREF,0.94,,,0.97,0.91,48.49,,,49.31,47.67,"1,390.61",695.11,950.08,,,,,543.7,530.83,,,1.91,1.85,,,0.96,0.93,,,48.91,48.07
C07,#147,,1,,longREF,0.35,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,7.09,,,0.73,0.14,19907,6,19901,0,6,0,"19,901.00",0,,,,,,,,326.47,,,,,,,,,,,,,,"1,991.56",231.93,232.46,,,,,0.52,0.23,,,,,,,,,,,,
C07,#147,,1,,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,19907,0,19907,0,6,0,"19,901.00",0,,,,,,,,,,,,,,,,,,,,,,0,680.53,680.53,,,,,,,,,,,,,,,,,,
D07,#148,3,1,,longREF,713.52,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"14,270.45",,,728.68,698.55,19543,8887,10656,"2,021.00","6,866.00","1,253.00","9,403.00",68.54,,,,,,,,"1,029.73",,,,,,,,,,,,,,"3,490.53",240.91,"1,718.64",,,,,721.23,705.86,,,,,,,,,,,,
D07,#148,3,1,,HDR,215.71,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"4,314.25",,,223.14,208.34,19543,3274,16269,"2,021.00","6,866.00","1,253.00","9,403.00",68.54,0.6,,,0.63,0.58,2,,893.71,,,longREF,0.3,,,0.31,0.29,23.21,,,23.93,22.5,"1,358.47",686.88,799.39,,,,,219.49,211.94,,,0.62,0.59,,,0.31,0.3,,,23.58,22.85
E07,#149,1,1,1,longREF,126.3,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,525.98",,,131.91,120.72,19245,1959,17286,421,"1,538.00","1,336.00","15,950.00",18,,,,,,,,900.24,,,,,,,,,,,,,,"3,412.61",230.42,554.34,,,,,129.16,123.45,,,,,,,,,,,,
E07,#149,1,1,1,HDR,112.63,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"2,252.62",,,117.91,107.37,19245,1757,17488,421,"1,538.00","1,336.00","15,950.00",18,1.78,,,1.9,1.67,2,,877.96,,,longREF,0.89,,,0.95,0.83,47.14,,,48.75,45.53,"1,444.84",667.42,738.39,,,,,115.32,109.95,,,1.84,1.72,,,0.92,0.86,,,47.96,46.32
F07,#150,2,1,,longREF,488.83,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"9,776.57",,,500.92,476.86,18921,6433,12488,"2,614.00","3,819.00","1,704.00","10,784.00",132.17,,,,,,,,960.76,,,,,,,,,,,,,,"3,284.87",240.04,"1,275.26",,,,,494.98,482.71,,,,,,,,,,,,
F07,#150,2,1,,HDR,304.76,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"6,095.19",,,313.91,295.68,18921,4318,14603,"2,614.00","3,819.00","1,704.00","10,784.00",132.17,1.25,,,1.3,1.2,2,,892.04,,,longREF,0.62,,,0.65,0.6,38.4,,,39.32,37.49,"1,345.81",688.6,838.58,,,,,309.42,300.12,,,1.27,1.22,,,0.64,0.61,,,38.87,37.94
G07,#151,1,1,1,longREF,318.75,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"6,374.99",,,328.03,309.54,19365,4596,14769,"2,699.00","1,897.00","1,661.00","13,108.00",159.74,,,,,,,,920.79,,,,,,,,,,,,,,"3,358.83",238.38,978.97,,,,,323.47,314.04,,,,,,,,,,,,
G07,#151,1,1,1,HDR,300.1,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"6,001.97",,,309.06,291.2,19365,4360,15005,"2,699.00","1,897.00","1,661.00","13,108.00",159.74,1.88,,,1.96,1.8,2,,896.88,,,longREF,0.94,,,0.98,0.9,48.49,,,49.53,47.46,"1,404.31",679.81,842.93,,,,,304.66,295.55,,,1.92,1.84,,,0.96,0.92,,,49.02,47.96
H07,#152,1,1,1,longREF,479.07,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"9,581.47",,,490.85,467.42,19477,6515,12962,"2,789.00","3,726.00","1,574.00","11,388.00",146.06,,,,,,,,"1,052.45",,,,,,,,,,,,,,"3,573.40",247.66,"1,360.11",,,,,485.06,473.11,,,,,,,,,,,,
H07,#152,1,1,1,HDR,298.37,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"5,967.36",,,307.28,289.52,19477,4363,15114,"2,789.00","3,726.00","1,574.00","11,388.00",146.06,1.25,,,1.29,1.2,2,,937.65,,,longREF,0.62,,,0.65,0.6,38.38,,,39.29,37.47,"1,465.93",711.87,880.79,,,,,302.91,293.85,,,1.27,1.22,,,0.64,0.61,,,38.84,37.91
