ChamberName, ChamberID, SampleName, ChamberContext, TotalNumberOfDroplets, Blue_Channel_SampleType, Blue_Channel_ProcessedDilutionStock, Blue_Channel_Concentration, Blue_Channel_NumberOfPositiveDroplets, Blue_Channel_NumberOfNegativeDroplets, Blue_Channel_ConcentrationStock_Min, Blue_Channel_ConcentrationStock_Max, Blue_Channel_ConcentrationStock_RelativeUncertainty, Green_Channel_SampleType, Green_Channel_ProcessedDilutionStock, Green_Channel_Concentration, Green_Channel_NumberOfPositiveDroplets, Green_Channel_NumberOfNegativeDroplets, Green_Channel_ConcentrationStock_Min, Green_Channel_ConcentrationStock_Max, Green_Channel_ConcentrationStock_RelativeUncertainty, Red_Channel_SampleType, Red_Channel_ProcessedDilutionStock, Red_Channel_Concentration, Red_Channel_NumberOfPositiveDroplets, Red_Channel_NumberOfNegativeDroplets, Red_Channel_ConcentrationStock_Min, Red_Channel_ConcentrationStock_Max, Red_Channel_ConcentrationStock_RelativeUncertainty
0448681-7-A1_NUP93_#38_reference, 0448681-7-A1_reference, NUP93_#38, reference,21875, U,1,0,0,21875,0,0, inf%, U,1,408.4,4655,17220,396.6,420.2,2.88%, U,1,423.8,4810,17065,411.8,435.9,2.83%
0448681-7-B1_NUP93_#38_reference, 0448681-7-B1_reference, NUP93_#38, reference,17386, U,1,0,0,17386,0,0, inf%, U,1,422,3809,13577,408.7,435.5,3.18%, U,1,424.6,3829,13557,411.1,438.1,3.18%
0448681-7-C1_NUP93_#38_reference, 0448681-7-C1_reference, NUP93_#38, reference,16119, U,1,0,0,16119,0,0, inf%, U,1,437.2,3643,12476,423.1,451.5,3.26%, U,1,439.7,3661,12458,425.5,454.1,3.25%
0448681-7-D1_NUP93_#38_reference, 0448681-7-D1_reference, NUP93_#38, reference,15882, U,1,0,0,15882,0,0, inf%, U,1,399.3,3313,12569,385.7,413,3.41%, U,1,431.2,3546,12336,417.1,445.5,3.30%
0448683-1-A2_NUP93_#38_reference, 0448683-1-A2_reference, NUP93_#38, reference,16756, U,1,0,0,16756,0,0, inf%, U,1,404.4,3535,13221,391.1,417.8,3.30%, U,1,418.3,3642,13114,404.7,431.9,3.26%
0448683-1-B2_NUP93_#38_reference, 0448683-1-B2_reference, NUP93_#38, reference,14789, U,1,0,0,14789,0,0, inf%, U,1,403.1,3111,11678,388.9,417.3,3.52%, U,1,421.2,3234,11555,406.7,435.8,3.46%
0448683-1-C2_NUP93_#38_reference, 0448683-1-C2_reference, NUP93_#38, reference,15543, U,1,0,0,15543,0,0, inf%, U,1,432,3476,12067,417.7,446.5,3.33%, U,1,428.2,3449,12094,413.9,442.6,3.35%
0448683-1-D2_NUP93_#38_reference, 0448683-1-D2_reference, NUP93_#38, reference,16997, U,1,0,0,16997,0,0, inf%, U,1,401.8,3565,13432,388.6,415,3.29%, U,1,428.3,3772,13225,414.6,442,3.20%
0448730-2-A3_NUP93_#38_reference, 0448730-2-A3_reference, NUP93_#38, reference,16276, U,1,0,0,16276,0,0, inf%, U,1,415.5,3517,12759,401.8,429.3,3.31%, U,1,418.3,3538,12738,404.6,432.2,3.30%
0448730-2-B3_NUP93_#38_reference, 0448730-2-B3_reference, NUP93_#38, reference,16787, U,1,0,0,16787,0,0, inf%, U,1,417.9,3646,13141,404.4,431.6,3.25%, U,1,431.9,3753,13034,418.1,445.8,3.21%
0448730-2-C3_NUP93_#38_reference, 0448730-2-C3_reference, NUP93_#38, reference,16661, U,1,0,0,16661,0,0, inf%, U,1,426.6,3685,12976,412.9,440.5,3.24%, U,1,437.6,3768,12893,423.6,451.6,3.20%
0448327-4-A1_NUP93_#38_reference, 0448327-4-A1_reference, NUP93_#38, reference,16264, U,1,0,0,16264,0,0, inf%, U,1,369.8,3168,13096,356.9,382.7,3.49%, U,1,398.8,3389,12875,385.4,412.3,3.37%
0448327-4-B1_NUP93_#38_reference, 0448327-4-B1_reference, NUP93_#38, reference,22305, U,1,0,0,22305,0,0, inf%, U,1,397.9,4638,17667,386.4,409.4,2.88%, U,1,400.2,4662,17643,388.7,411.7,2.88%
0448327-4-C1_NUP93_#38_reference, 0448327-4-C1_reference, NUP93_#38, reference,20570, U,1,0,0,20570,0,0, inf%, U,1,384.6,4150,16420,372.9,396.3,3.05%, U,1,407.2,4366,16204,395.1,419.3,2.97%
0448327-4-D1_NUP93_#38_reference, 0448327-4-D1_reference, NUP93_#38, reference,19666, U,1,0,0,19666,0,0, inf%, U,1,375.1,3880,15786,363.3,386.9,3.15%, U,1,387.3,3993,15673,375.3,399.4,3.11%
0448297-0-A2_NUP93_#38_reference, 0448297-0-A2_reference, NUP93_#38, reference,20585, U,1,0,0,20585,0,0, inf%, U,1,392.4,4228,16357,380.6,404.3,3.02%, U,1,413.5,4429,16156,401.3,425.7,2.95%
0448297-0-B2_NUP93_#38_reference, 0448297-0-B2_reference, NUP93_#38, reference,20943, U,1,0,0,20943,0,0, inf%, U,1,399.3,4369,16574,387.5,411.2,2.97%, U,1,415.7,4527,16416,403.6,427.8,2.92%
0448297-0-C2_NUP93_#38_reference, 0448297-0-C2_reference, NUP93_#38, reference,22159, U,1,0,0,22159,0,0, inf%, U,1,395.8,4587,17572,384.4,407.4,2.90%, U,1,412.2,4755,17404,400.5,424,2.85%
0448297-0-D2_NUP93_#38_reference, 0448297-0-D2_reference, NUP93_#38, reference,21744, U,1,0,0,21744,0,0, inf%, U,1,381.4,4355,17389,370.1,392.8,2.98%, U,1,414,4684,17060,402.2,426,2.87%
0448326-7-A3_NUP93_#38_reference, 0448326-7-A3_reference, NUP93_#38, reference,21001, U,1,0,0,21001,0,0, inf%, U,1,379.6,4188,16813,368.1,391.2,3.03%, U,1,395,4339,16662,383.3,406.8,2.98%
0448326-7-B3_NUP93_#38_reference, 0448326-7-B3_reference, NUP93_#38, reference,20425, U,1,0,0,20425,0,0, inf%, U,1,382.2,4098,16327,370.5,394,3.07%, U,1,405.2,4317,16108,393.2,417.4,2.99%
0448326-7-C3_NUP93_#38_reference, 0448326-7-C3_reference, NUP93_#38, reference,22268, U,1,0,0,22268,0,0, inf%, U,1,407.9,4734,17534,396.3,419.6,2.86%, U,1,428.5,4944,17324,416.5,440.5,2.79%
0447943-7-B1_038_DAY1_a, 0447943-7-B1, NUP93_#38, reference,22134, U,1,0,0,22134,0,0, inf%, U,1,146.2,1817,20317,139.5,152.9,4.60%, U,1,148.7,1847,20287,141.9,155.5,4.56%
0447934-5-B1_038_DAY2_a, 0447934-5-B1, NUP93_#38, reference,23656, U,1,0,0,23656,0,0, inf%, U,1,203.9,2664,20992,196.2,211.7,3.80%, U,1,204.3,2669,20987,196.6,212.1,3.80%
0448682-4-B1_038_DAY1_C, 0448682-4-B1, NUP93_#38, reference,19439, U,1,0,0,19439,0,0, inf%, U,1,123.3,1355,18084,116.8,129.9,5.33%, U,1,133.9,1467,17972,127.1,140.8,5.12%
0447441-8-B1_038_DAY3_a, 0447441-8-B1, NUP93_#38, reference,23661, U,1,0,0,23661,0,0, inf%, U,1,71.7,974,22687,67.2,76.3,6.28%, U,1,70.4,956,22705,65.9,74.9,6.34%
0446865-3-B3_Nup93#38, 0446865-3-B3, NUP93_#38, reference,21966, U,1,0,0,21966,0,0, inf%, U,1,297.3,3512,18454,287.5,307.2,0.0331, U,1,299.5,3535,18431,289.6,309.4,0.033
0446865-3-C3_Nup93#38, 0446865-3-C3, NUP93_#38, reference,22027, U,1,0,0,22027,0,0, inf%, U,1,295.3,3500,18527,285.6,305.2,0.0332, U,1,310.9,3668,18359,300.8,321,0.0324
0446861-5-B3_Nup93#38_reference, 0446861-5-B3_reference, NUP93_#38, reference,23050, U,1,0,0,23050,0,0, inf%, U,1,109.8,1436,21614,104.1,115.5,0.0517, U,1,110.3,1443,21607,104.7,116,0.0516
0446861-5-C3_Nup93#38_reference, 0446861-5-C3_reference, NUP93_#38, reference,21352, U,1,0,0,21352,0,0, inf%, U,1,116,1403,19949,109.9,122.1,0.0523, U,1,114.3,1383,19969,108.3,120.3,0.0527
